#{"t_start": 1734358070.976824, "env_id": "RMSA_ENV-v0"}
r,l,t
96.0,100,84.911601
100.0,100,84.945481
100.0,100,84.978531
100.0,100,85.012311
100.0,100,85.046187
96.0,100,85.078908
100.0,100,85.111693
100.0,100,85.145242
98.0,100,85.178585
100.0,100,85.211481
100.0,100,85.245235
100.0,100,85.278476
100.0,100,85.312755
98.0,100,85.345415
100.0,100,85.377811
100.0,100,85.411299
100.0,100,85.443767
98.0,100,85.475187
98.0,100,85.508146
100.0,100,85.541791
100.0,100,85.576329
100.0,100,85.611194
100.0,100,85.644398
100.0,100,85.675342
100.0,100,85.70908
94.0,100,85.739354
96.0,100,85.771739
100.0,100,85.803927
100.0,100,85.840148
100.0,100,85.874476
100.0,100,85.910389
100.0,100,85.947158
100.0,100,85.980812
100.0,100,86.014894
100.0,100,86.049883
98.0,100,86.083041
100.0,100,86.114854
100.0,100,86.148813
100.0,100,86.180146
98.0,100,86.211504
100.0,100,86.24723
100.0,100,86.283349
100.0,100,86.318015
100.0,100,86.351809
100.0,100,86.385336
100.0,100,86.417265
100.0,100,86.45148
100.0,100,86.48618
100.0,100,86.521039
100.0,100,86.552721
100.0,100,86.58677
100.0,100,86.6209
100.0,100,86.65376
100.0,100,86.684074
98.0,100,86.718515
100.0,100,86.751426
100.0,100,86.783727
100.0,100,86.817072
100.0,100,86.850856
100.0,100,86.885384
100.0,100,86.918892
100.0,100,86.953032
100.0,100,86.989121
100.0,100,87.023971
98.0,100,87.059382
100.0,100,87.093003
98.0,100,87.126418
100.0,100,87.158895
100.0,100,87.192235
100.0,100,87.226008
100.0,100,87.258904
100.0,100,87.291841
100.0,100,87.326511
100.0,100,87.358138
100.0,100,87.391605
100.0,100,87.426298
100.0,100,87.459056
100.0,100,87.49281
96.0,100,87.526412
100.0,100,87.558805
100.0,100,87.589255
98.0,100,87.619875
100.0,100,87.651255
100.0,100,87.683263
100.0,100,87.715068
98.0,100,87.74765
100.0,100,87.782451
100.0,100,87.816065
100.0,100,87.851646
98.0,100,87.883541
98.0,100,87.918474
100.0,100,87.952327
100.0,100,87.98648
100.0,100,88.02075
100.0,100,88.052592
100.0,100,88.088594
100.0,100,88.122611
100.0,100,88.153722
100.0,100,88.186058
100.0,100,88.218526
100.0,100,88.249862
100.0,100,88.283628
100.0,100,88.31747
100.0,100,88.350583
100.0,100,88.384776
100.0,100,88.418128
100.0,100,88.450453
100.0,100,88.483862
100.0,100,88.517374
100.0,100,88.550078
100.0,100,88.583313
96.0,100,88.61667
100.0,100,88.649843
100.0,100,88.684067
96.0,100,88.717991
100.0,100,88.751289
100.0,100,88.784524
100.0,100,88.817141
100.0,100,88.84955
100.0,100,88.882197
100.0,100,88.912723
100.0,100,88.946766
100.0,100,88.979142
98.0,100,89.010789
100.0,100,89.04309
100.0,100,89.076939
100.0,100,89.111318
98.0,100,89.142609
100.0,100,89.176413
100.0,100,89.208834
100.0,100,89.24287
100.0,100,89.277099
98.0,100,89.310314
100.0,100,89.344575
79.0,79,89.905669
100.0,100,90.044003
98.0,100,90.164585
100.0,100,90.302749
100.0,100,90.45813
78.0,78,90.625433
98.0,100,90.658085
94.0,100,90.690409
100.0,100,90.724181
100.0,100,90.758546
100.0,100,90.790855
96.0,100,90.822865
94.0,100,90.855526
100.0,100,90.887513
100.0,100,90.920399
100.0,100,90.953769
100.0,100,90.986246
98.0,100,91.01801
98.0,100,91.051227
100.0,100,91.08299
100.0,100,91.115734
100.0,100,91.148035
100.0,100,91.181643
98.0,100,91.213873
100.0,100,91.246304
100.0,100,91.279726
100.0,100,91.310969
100.0,100,91.344868
100.0,100,91.377454
100.0,100,91.408613
100.0,100,91.441996
100.0,100,91.474712
98.0,100,91.506591
100.0,100,91.539546
98.0,100,91.572449
94.0,100,91.604788
100.0,100,91.635462
100.0,100,91.666027
94.0,100,91.697644
100.0,100,91.72801
100.0,100,91.757296
100.0,100,91.786253
100.0,100,91.817941
98.0,100,91.851393
98.0,100,91.883875
98.0,100,91.917273
100.0,100,91.949871
100.0,100,91.982866
100.0,100,92.016383
100.0,100,92.049188
100.0,100,92.081822
100.0,100,92.11459
100.0,100,92.146016
100.0,100,92.178268
100.0,100,92.211144
100.0,100,92.243819
100.0,100,92.276453
100.0,100,92.309941
100.0,100,92.346464
100.0,100,92.379166
96.0,100,92.412785
100.0,100,92.444699
100.0,100,92.477065
100.0,100,92.510413
98.0,100,92.54318
